batch,case,q,phase,completed_calls,started_calls,generate_s,evaluate_s,wall_s,historical_reuses,peak_mib,status
FINAL_accelerated,case_015,1,baseline_1,1,1,0,0.27272530000027473,0.5032663000001776,0,42.10546875,complete
FINAL_accelerated,case_015,1,search_1,16,16,0.2716740999994727,4.12325509999846,4.766230199999882,6,40.7109375,complete
FINAL_accelerated,case_015,2,baseline_1,1,1,0,0.14172730000063893,0.38106280000010884,0,41.875,complete
FINAL_accelerated,case_015,2,search_1,16,16,0.20866379999915807,3.0574742999970113,3.6593880000000354,6,44.4765625,complete
FINAL_accelerated,case_015,3,baseline_1,1,1,0,0.1272276999998212,0.35030920000008337,0,41.96484375,complete
FINAL_accelerated,case_015,3,search_1,28,28,0.30909909999900265,5.635957499999677,6.424094199999672,6,46.3828125,complete
FINAL_accelerated,case_016,1,baseline_1,1,1,0,51.43028849999973,52.05870520000008,0,271.6953125,complete
FINAL_accelerated,case_016,1,search_1,16,16,9.853048999999373,868.2101104000012,879.2067098000007,6,373.71875,complete
FINAL_accelerated,case_016,2,baseline_1,1,1,0,10.200460900000508,10.7734375,0,271.96875,complete
FINAL_accelerated,case_016,2,search_1,16,16,8.6518320999985,96.34601410000141,106.23431170000003,6,349.546875,complete
FINAL_accelerated,case_016,3,baseline_1,1,1,0,9.851804300000367,10.458562499999971,0,272.296875,complete
FINAL_accelerated,case_016,3,search_1,25,25,14.780854000002364,159.38921899999877,175.8146439000011,6,384.07421875,complete
FINAL_accelerated,case_017,1,baseline_1,1,1,0,0.47042289999990317,0.7533187999997608,0,48.921875,complete
FINAL_accelerated,case_017,1,search_1,15,15,0.17047139999885985,3.978813200001241,4.473241800000324,6,45.63671875,complete
FINAL_accelerated,case_017,2,baseline_1,1,1,0,0.24035769999954937,0.49401469999975234,0,48.8984375,complete
FINAL_accelerated,case_017,2,search_1,16,16,0.2127383999986705,3.2439029999968625,3.910143799999787,6,49.93359375,complete
FINAL_accelerated,case_017,3,baseline_1,1,1,0,0.2276957999993101,0.4735244000003149,0,49.0625,complete
