q,k,comparison,group_type,group,cases,mean_ratio,median_ratio,min_ratio,worst_case,faster,equal,slower
3,2,L2共同候选池,计算节点规模,第2四分位，1115—3696,25,1.0037985366938176,1.0,1.0,case_002,11,14,0
3,2,L2共同候选池,计算节点规模,第3四分位，3745—7008,25,1.0119312006156385,1.0002930830520969,1.0,case_007,17,8,0
3,2,L2共同候选池,计算节点规模,第4四分位，7360—35705,25,1.0025637347997827,1.0007356130250278,1.0,case_016,19,6,0
3,2,L2共同候选池,计算关键路径,第1四分位，400—2484,25,1.0013375719541937,1.0,1.0,case_001,8,17,0
3,2,L2共同候选池,计算关键路径,第2四分位，2506—5980,25,1.0017496447335923,1.0,1.0,case_002,10,15,0
3,2,L2共同候选池,计算关键路径,第3四分位，6300—23904,25,1.002639562240994,1.000197034628836,1.0,case_009,17,8,0
3,2,L2共同候选池,计算关键路径,第4四分位，27474—863040,25,1.0139358435233112,1.001025356478444,1.0,case_016,19,6,0
3,2,L2共同候选池,弱连通分量,单分量,16,1.0028400043343735,1.0004758625272157,1.0,case_002,10,6,0
3,2,L2共同候选池,弱连通分量,多分量,84,1.005311017761337,1.0000745833538036,1.0,case_001,44,40,0
3,3,L2共同候选池,计算节点规模,第1四分位，552—1098,25,1.007049685156696,1.0,1.0,case_001,11,14,0
3,3,L2共同候选池,计算节点规模,第2四分位，1115—3696,25,1.0084289173343433,1.000183154975274,1.0,case_002,14,11,0
3,3,L2共同候选池,计算节点规模,第3四分位，3745—7008,25,1.0211488147747685,1.0015339765627387,1.0,case_007,19,6,0
3,3,L2共同候选池,计算节点规模,第4四分位，7360—35705,25,1.010228850756563,1.0012241259362922,1.0,case_016,19,6,0
3,3,L2共同候选池,计算关键路径,第1四分位，400—2484,25,1.0051809123539501,1.0,1.0,case_001,10,15,0
3,3,L2共同候选池,计算关键路径,第2四分位，2506—5980,25,1.0012379584439706,1.0003741794586272,1.0,case_002,13,12,0
3,3,L2共同候选池,计算关键路径,第3四分位，6300—23904,25,1.0098950981150363,1.0006497140067794,1.0,case_019,18,7,0
3,3,L2共同候选池,计算关键路径,第4四分位，27474—863040,25,1.030542299109414,1.007606511742763,1.0,case_016,22,3,0
3,3,L2共同候选池,弱连通分量,单分量,16,1.0088565167477725,1.0009594921711562,1.0,case_002,10,6,0
3,3,L2共同候选池,弱连通分量,多分量,84,1.0122583622927965,1.000638213395796,1.0,case_001,53,31,0
3,4,L2共同候选池,计算节点规模,第1四分位，552—1098,25,1.0114274036999926,1.0,1.0,case_001,9,16,0
