case,q,k,selected,effective_origin,seed_makespan,selected_makespan,cycles_saved,fraction_saved,added_copy_bytes
case_023,2,2,a2_b1,a2_b1,61542,61542,0,0.0,133536
case_023,2,3,traffic_price,traffic_price,41806,40766,1040,0.02487681194086977,196896
case_023,2,4,a2_b1,a2_b1,32421,32421,0,0.0,281280
case_023,2,5,traffic_price,traffic_price,26937,25603,1334,0.049522960983034436,207264
case_023,3,2,cache_order_1,cache_order_1,61542,61400,142,0.0023073673263787065,133536
case_023,3,3,cache_price,cache_price,41806,40766,1040,0.02487681194086977,196896
case_023,3,4,a2_b1,a2_b1,32421,32421,0,0.0,281280
case_023,3,5,traffic_price,traffic_price,26911,25603,1308,0.04860465980454087,207264
case_024,1,2,budget_0.10,budget_0.10,1862654,1782398,80256,0.04308690717653407,39329048
case_024,1,3,budget_0.10,budget_0.10,1568362,1556206,12156,0.007750761622635549,39329048
case_024,1,4,local,local,1415240,1401006,14234,0.010057658065063202,39329468
case_024,1,5,local,local,1345130,1324322,20808,0.015469136812055306,39330664
case_024,2,2,traffic_price,traffic_price,1334769,1333751,1018,0.0007626787856175321,3632
case_024,2,3,a2_b1,a2_b1,953408,953408,0,0.0,4040
case_024,2,4,traffic_price,traffic_price,743027,743023,4,5.383384453105933e-06,5240
case_024,2,5,traffic_price,traffic_price,694207,693107,1100,0.0015845417865276712,6244
case_024,3,2,traffic_price,traffic_price,1333937,1333751,186,0.00013943686995709914,3632
case_024,3,3,a2_b1,a2_b1,953408,953408,0,0.0,4040
case_024,3,4,traffic_price,traffic_price,743027,743023,4,5.383384453105933e-06,5240
case_024,3,5,traffic_price,traffic_price,693243,693107,136,0.00019617940606686535,6244
case_025,1,2,local,local,3161776,2431840,729936,0.23086265440689036,27648
case_025,1,3,local,local,2291536,1622164,669372,0.2921062553675787,55296
case_025,1,4,local,local,1875064,1217444,657620,0.35071869546852796,82944
case_025,1,5,local,local,1757768,975282,782486,0.44515886055497655,110592
case_025,2,2,a2_b1,a2_b1,2431840,2431840,0,0.0,27648
case_025,2,3,a2_b1,a2_b1,1622164,1622164,0,0.0,55296
case_025,2,4,a2_b1,a2_b1,1217444,1217444,0,0.0,82944
case_025,2,5,a2_b1,a2_b1,975282,975282,0,0.0,110592
case_025,3,2,a2_b1,a2_b1,2431840,2431840,0,0.0,27648
case_025,3,3,a2_b1,a2_b1,1622164,1622164,0,0.0,55296
case_025,3,4,a2_b1,a2_b1,1217444,1217444,0,0.0,82944
case_025,3,5,a2_b1,a2_b1,975282,975282,0,0.0,110592
case_026,1,2,budget_0.05,budget_0.05,73663,57638,16025,0.2175447646715447,863204
case_026,1,3,budget_0.05,budget_0.05,53312,39732,13580,0.2547268907563025,863204
case_026,1,4,budget_0.10,budget_0.10,45030,37400,7630,0.16944259382633797,866846
case_026,1,5,budget_0.10,budget_0.10,41786,34946,6840,0.16369118843631836,866846
case_026,2,2,traffic_price,traffic_price,50502,47885,2617,0.05181972991168671,258352
case_026,2,3,a2_b1,a2_b1,34016,34016,0,0.0,321016
case_026,2,4,a2_b1,a2_b1,28493,28493,0,0.0,359248
case_026,2,5,a4_b0,a4_b0,25879,25840,39,0.0015070134085551912,740432
case_026,3,2,traffic_price,traffic_price,49641,47885,1756,0.03537398521383539,258352
case_026,3,3,a2_b1,a2_b1,34016,34016,0,0.0,321016
case_026,3,4,pipeline_finish,pipeline_finish,28493,28477,16,0.0005615414312287736,455212
case_026,3,5,a4_b0,a4_b0,25837,24536,1301,0.0503541432828889,740432
case_027,1,2,local,local,1124556,1120962,3594,0.003195927992914571,1744896
case_027,1,3,local,local,844900,837049,7851,0.009292223931826271,3686400
case_027,1,4,local,local,565244,559196,6048,0.010699803978458822,3317760
case_027,1,5,local,local,565244,558753,6491,0.011483536313521281,5529600
case_027,2,2,a4_b0,a4_b0,1124880,1120962,3918,0.003483038190740362,1744896
case_027,2,3,a2_b1,a2_b1,837049,837049,0,0.0,3686400
case_027,2,4,a2_b1,a2_b1,559196,559196,0,0.0,3317760
case_027,2,5,traffic_price,traffic_price,558753,558753,0,0.0,3317760
case_027,3,2,a4_b0,a4_b0,1124880,1120962,3918,0.003483038190740362,1744896
case_027,3,3,a2_b1,a2_b1,837049,837049,0,0.0,3686400
case_027,3,4,a2_b1,a2_b1,559196,559196,0,0.0,3317760
case_027,3,5,traffic_price,traffic_price,558753,558753,0,0.0,3317760
case_028,1,2,fine,fine,20808437,20808437,0,0.0,326568960
case_028,1,3,fine,fine,14792144,14792144,0,0.0,326568960
case_028,1,4,fine,fine,12041229,12041229,0,0.0,326568960
case_028,1,5,fine,fine,10194624,10194624,0,0.0,326568960
case_028,2,2,a2_b1,a2_b1,20596617,20596617,0,0.0,80220720
case_028,2,3,release_order_8,release_order_8,13758072,13731482,26590,0.0019326835911310791,47919360
case_028,2,4,a2_b1,a2_b1,10346061,10346061,0,0.0,90161376
case_028,2,5,traffic_price,traffic_price,8373492,8260945,112547,0.013440867919859434,65118144
case_028,3,2,release_order_8,release_order_8,20580761,20571207,9554,0.0004642199576585515,79707696
case_028,3,3,release_order_8,release_order_8,13761934,13730032,31902,0.002318133483273477,47919360
case_028,3,4,cache_price,cache_price,10321428,10293045,28383,0.0027499101868462272,66255168
case_028,3,5,traffic_price,traffic_price,8342713,8194662,148051,0.017746145648304124,65118144
case_029,1,2,local,local,22105,19740,2365,0.10698936892105859,0
case_029,1,3,local,local,14831,12743,2088,0.14078619108623824,0
case_029,1,4,local,local,13395,11028,2367,0.17670772676371782,0
case_029,1,5,local,local,11787,9383,2404,0.2039535081021464,0
case_029,2,2,a2_b1,a2_b1,19740,19740,0,0.0,0
case_029,2,3,a2_b1,a2_b1,12743,12743,0,0.0,0
case_029,2,4,a2_b1,a2_b1,11028,11028,0,0.0,0
case_029,2,5,a2_b1,a2_b1,9383,9383,0,0.0,0
case_029,3,2,a2_b1,a2_b1,19740,19740,0,0.0,0
case_029,3,3,a2_b1,a2_b1,12743,12743,0,0.0,0
case_029,3,4,a2_b1,a2_b1,11028,11028,0,0.0,0
case_029,3,5,a2_b1,a2_b1,9383,9383,0,0.0,0
case_030,1,2,local,local,1523915,1399149,124766,0.08187202042108643,6877184
case_030,1,3,local,local,1017923,933256,84667,0.08317623238692906,8949248
case_030,1,4,local,local,766308,698838,67470,0.08804553782552182,7811072
case_030,1,5,local,local,616416,560819,55597,0.09019395992316881,10660864
case_030,2,2,a4_b0,a4_b0,2334326,1413914,920412,0.3942945415507517,1956864
case_030,2,3,a4_b0,a4_b0,1713946,956472,757474,0.441947412578926,4507648
case_030,2,4,release_order_8,release_order_8,701046,698274,2772,0.003954091457621933,4763648
case_030,2,5,a4_b0,a4_b0,1399543,570791,828752,0.5921590119060294,7493632
case_030,3,2,a4_b0,a4_b0,2333713,1413845,919868,0.3941650065796437,1956864
case_030,3,3,a4_b0,a4_b0,1712269,955579,756690,0.4419223848589211,4507648
case_030,3,4,cache_order_1,cache_order_1,700582,697455,3127,0.00446343183239073,4763648
case_030,3,5,a4_b0,a4_b0,1355638,569112,786526,0.5801888114673681,7493632
case_031,1,2,local,local,743971,722314,21657,0.029110005631939995,5606400
case_031,1,3,local,local,510690,493808,16882,0.03305723628815915,4568064
